article_id,article_type_id,Experimental/observational,Study type,Harmonized_study type,Location,Region,Longhurst province,Habitat type_harmonized,Seasonality_harmonized,Trawling gear type_harmonized,Latitude_study_site,Longitude_study_site,Water depth (m),Sample core depth slice,Response variable,Mean_After_control,Term_var_After_control,Value_var_After_control,SD_After_control,n_After_control,Mean_Before_control,Term_var_Before_control,Value_var_Before_control,SD_Before_control,n_Before_control,Mean_Before_impact,Term_var_Before_impact,Value_var_Before_impact,SD_Before_impact,n_Before_impact,Mean_After_impact,Term_var_After_impact,Value_var_After_impact,SD_After_impact,n_After_impact,Time since trawl (days),Trawling effort_numerical_harmonized,Trawling effort_units_harmonized,Trawling_effort_GFW,Time since first disturbance (years),Historically fished,Model_Chl_bottom (mg/m3),Model_Current_velocity (m/s),Model_Dissolved_Oxygen (mol/m3), Model_NO3_bottom (mol/m3),Model_PO4_bottom (mol/m3),Model_Sal_bottom,Model_Silicate_bottom (mol/m3),Model_Temp_bottom,Model_NPP_surface (g/m3/day),dist_shore (m)
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,0-1,Chl-a,7.771084337,SD,0.689594603,0.689594603,3,,,,,,,,,,,6.084337349,SD,0.849461674,0.849461674,3,1,1,Hauls prior sampling,0,1,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,0-1,OM (LOI),8.458270449,SD,1.033425602,1.033425602,3,,,,,,,,,,,4.638700365,SD,0.094591308,0.094591308,3,1,1,Hauls prior sampling,0,1,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,0-1,Chl-a,9.795180723,SD,1.414726684,1.414726684,4,,,,,,,,,,,6.313253012,SD,0.526686578,0.526686578,3,7,1,Hauls prior sampling,0,7,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,NHx flux,144.6,SD,122.3,122.3,6,,,,,,,,,,,559.5,SD,32.5,32.5,3,1.5,1,Hauls prior sampling,0,1.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Phosphate flux,2.5,SD,18.1,18.1,6,,,,,,,,,,,13.9,SD,1.7,1.7,3,1.5,1,Hauls prior sampling,0,1.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Nitrate flux,153,SD,57.9,57.9,6,,,,,,,,,,,70.7,SD,62.2,62.2,3,1.5,1,Hauls prior sampling,0,1.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,oxygen consumption,9757.9,SD,3504.1,3504.1,6,,,,,,,,,,,6206.1,SD,2620.9,2620.9,3,1.5,1,Hauls prior sampling,0,1.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,NHx flux,-24.3,SD,128.5,128.5,6,,,,,,,,,,,-10.6,SD,10,10,3,9.5,1,Hauls prior sampling,0,9.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Phosphate flux,7.2,SD,19.9,19.9,6,,,,,,,,,,,11.8,SD,15.7,15.7,3,9.5,1,Hauls prior sampling,0,9.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Nitrate flux,109.7,SD,126.4,126.4,6,,,,,,,,,,,-42.7,SD,28.8,28.8,3,9.5,1,Hauls prior sampling,0,9.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,oxygen consumption,15814.3,SD,3349.2,3349.2,6,,,,,,,,,,,8908.6,SD,1653,1653,3,9.5,1,Hauls prior sampling,0,9.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,NHx flux,119.7,SD,169.5,169.5,6,,,,,,,,,,,-4.8,SD,3.5,3.5,3,16.5,1,Hauls prior sampling,0,16.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Phosphate flux,-1.4,SD,23.6,23.6,6,,,,,,,,,,,29.4,SD,11.2,11.2,3,16.5,1,Hauls prior sampling,0,16.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,Nitrate flux,165,SD,84.7,84.7,6,,,,,,,,,,,23.3,SD,13.5,13.5,3,16.5,1,Hauls prior sampling,0,16.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
2,2,Experimental,Control Impact,Experimental,Himmerfjarden in the Baltic Proper,Baltic Sea,Northeast Atlantic shelves,Shallow mud,Temperate autumn,Dredging,58.86613,17.60247833,12,Full core,oxygen consumption,15995.2,SD,3677.3,3677.3,6,,,,,,,,,,,8350.4,SD,2041.1,2041.1,3,16.5,1,Hauls prior sampling,0,16.5,0,0.23898922,0.0769983,361.357529,0.09873313,0.25489262,6.73978621,23.8198245,8.16231548,0.00379309,1555.14001
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate summer,Otter Trawl,41.86744429,3.373933729,494,0-1,TOC,0.935916916,SD,,0,1,,,,,,,,,,,0.801423866,SD,,0,1,0,54,y-1,671.91803,,1,0.01251521,0.03689,196.199257,7.23304296,0.37718099,38.4768682,7.10979299,13.1311907,0.00284593,21417.5996
