Response variable,Sample core depth slice,Mean_After_control,Term_var_After_control,Value_var_After_control,SD_After_control,n_After_control,article_id,article_type_id,Trawled/untrawled,Before/After,Experimental/observational,Study type,Harmonized_study type,Location,Region,Longhurst province,Latitude_study,Longitude_study,Water depth (m),Trawling effort_numerical_harmonized,Trawling_effort_GFW,Model_Chl_bottom (mg/m3),Model_Current_velocity (m/s),Model_Dissolved_Oxygen (mol/m3), Model_NO3_bottom (mol/m3),Model_PO4_bottom (mol/m3),Model_Sal_bottom,Model_Silicate_bottom (mol/m3),Model_Temp_bottom,Model_NPP_surface (g/m3/day),dist_shore (m),Time since trawl (days),Time since first disturbance (years),Habitat type_harmonized,Seasonality_harmonized,Trawling gear type_harmonized,Historically fished,Trawling effort_categorical,Trawling effort_units_harmonized,Control_historically_trawled,Mean_After_impact,Term_var_After_impact,Value_var_After_impact,SD_After_impact,n_After_impact,Mean_Before_impact,Term_var_Before_impact,Value_var_Before_impact,SD_Before_impact,n_Before_impact,Mean_Before_control,Term_var_Before_control,Value_var_Before_control,SD_Before_control,n_Before_control
Oxygen flux,Full core,-149.2927703,SD,81.63765273,81.63765273,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Summer,Otter Trawl,TRUE,,y-1,0,-133.3682081,SD,30.96600621,30.96600621,12,,,,,,,,,,
TOC,0-2,5463.345958,SD,651.9753116,651.9753116,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Summer,Otter Trawl,TRUE,,y-1,0,6010.550795,SD,230.7738168,230.7738168,12,,,,,,,,,,
Chl-a,0-2,0.103440921,SD,0.000225884,0.000225884,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Summer,Otter Trawl,TRUE,,y-1,0,0.104977505,SD,0.008131659,0.008131659,12,,,,,,,,,,
Phaeopigments,0-2,0.536030656,SD,0.030702235,0.030702235,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Summer,Otter Trawl,TRUE,,y-1,0,0.534597443,SD,0.007936221,0.007936221,12,,,,,,,,,,
Oxygen flux,Full core,-77.2341265,SD,14.63847566,14.63847566,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Winter,Otter Trawl,TRUE,,y-1,0,-95.54737298,SD,11.26036589,11.26036589,12,,,,,,,,,,
TOC,0-2,5130.355188,SD,11.55497209,11.55497209,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Winter,Otter Trawl,TRUE,,y-1,0,5351.456874,SD,285.5343102,285.5343102,12,,,,,,,,,,
Chl-a,0-2,0.124716921,SD,0.043158705,0.043158705,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Winter,Otter Trawl,TRUE,,y-1,0,0.123303148,SD,0.018291529,0.018291529,12,,,,,,,,,,
Phaeopigments,0-2,0.626151496,SD,0.2163382,0.2163382,12,194,194,Control,After,Observational,Control Impact,Comparative control impact,Cretan Sea,Cretan Sea,Mediterranean Sea,35.5,22.9,200,2,101.381798,0.050934,0.067978,223.171173,0.000735,0.028359,39.080669,3.344868,20.121329,0.000585,213650,,40,Mud,Winter,Otter Trawl,TRUE,,y-1,0,0.541441029,SD,0.024266796,0.024266796,12,,,,,,,,,,
Oxygen flux,Full core,,,,,,0,0,Impact,Before,Experimental,Before After,Experimental,"Vlakte van de Raan, North Sea",North Sea,Northeast Atlantic shelves,51.565,3.25,10,6,128.556198,1.297704,0.122398,278.000305,1.67179,0.157217,34.376694,3.196971,12.242711,0.025621,13247,0.03125,87,Sand,Summer,Beam trawl,TRUE,,Hauls prior sampling,,74.54444,SD,40.22176,40.22176,9,172.42222,SD,109.34376,109.34376,9,,,,,
NHx flux,Full core,,,,,,0,0,Impact,Before,Experimental,Before After,Experimental,"Vlakte van de Raan, North Sea",North Sea,Northeast Atlantic shelves,51.565,3.25,10,6,128.556198,1.297704,0.122398,278.000305,1.67179,0.157217,34.376694,3.196971,12.242711,0.025621,13247,0.03125,87,Sand,Summer,Beam trawl,TRUE,,Hauls prior sampling,,1.6115602,SD,1.6076686,1.6076686,9,1.3160579,SD,1.3373237,1.3373237,9,,,,,
