name,mean,median,min,max,sd,nobs,var
All,-0.185,-0.111,-2.167,1.439,0.492,150,Chl-a
Surface,-0.293,-0.204,-2.167,1.439,0.593,78,Chl-a
Subsurface,-0.026,-0.105,-0.458,0.634,0.296,27,Chl-a
Deep,-0.147,-0.025,-1.016,0.236,0.302,24,Chl-a
Very deep,-0.009,0.076,-0.798,0.423,0.308,18,Chl-a
Full sample,-0.161,-0.118,-0.804,0.439,0.623,3,Chl-a
All,-0.241,-0.149,-1.235,0.274,0.347,54,Phaeopigments
Surface,-0.373,-0.255,-1.235,0.075,0.393,23,Phaeopigments
Subsurface,-0.152,-0.148,-1.029,0.274,0.291,17,Phaeopigments
Deep,-0.105,-0.033,-0.656,0.198,0.269,9,Phaeopigments
Very deep,-0.184,-0.083,-0.642,0.042,0.282,5,Phaeopigments
All,-0.162,-0.073,-1.179,0.782,0.412,45,Phytopigments
Surface,-0.162,-0.102,-1.179,0.782,0.434,17,Phytopigments
Subsurface,-0.202,-0.119,-1.12,0.565,0.423,18,Phytopigments
Deep,-0.139,0.024,-0.843,0.235,0.413,8,Phytopigments
Very deep,0.111,0.111,0.014,0.208,0.138,2,Phytopigments
All,0.111,0.033,-0.211,0.992,0.243,85,TIC
Surface,0.217,0.03,-0.063,0.992,0.371,12,TIC
Subsurface,0.161,0.024,-0.101,0.844,0.307,18,TIC
Deep,0.077,0.03,-0.134,0.503,0.189,30,TIC
Very deep,0.063,0.085,-0.211,0.314,0.149,25,TIC
All,-0.14,-0.169,-1.186,1.004,0.303,276,TOC
Surface,-0.15,-0.154,-1.092,1.004,0.31,72,TOC
Subsurface,-0.104,-0.127,-0.863,0.769,0.324,70,TOC
Deep,-0.164,-0.225,-0.656,0.782,0.275,73,TOC
Very deep,-0.154,-0.135,-0.5,0.251,0.151,42,TOC
Full sample,-0.112,-0.093,-1.186,0.842,0.505,19,TOC
All,0.275,-0.052,-2.014,4.204,1.023,189,TN
Surface,0.114,-0.132,-1.055,3.15,0.798,40,TN
Subsurface,0.299,-0.038,-1.456,3.394,0.963,47,TN
